opportunity_id,company_id,company_name,title,opportunity_type,path_id,required_skills,preferred_skills,eligible_majors,class_years,location,min_gpa,posted_date,deadline,apply_url,source
OP0012,CO002,Databricks,Technology Consulting Intern,internship,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Junior|Senior,"McLean, VA",3.5,2026-08-19,2026-12-12,https://example.com/apply (mock),mock
OP0013,CO002,Databricks,Data & AI Consulting Intern,internship,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Junior|Senior,"Arlington, VA",3.0,2026-08-20,2026-11-09,https://example.com/apply (mock),mock
OP0014,CO003,Accenture,Technology Consulting Intern,internship,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Freshman|Sophomore,Remote,,2026-09-19,2026-12-04,https://example.com/apply (mock),mock
OP0015,CO003,Accenture,Strategy Associate Intern,internship,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Junior|Senior,"Charlotte, NC",3.0,2026-08-27,2026-12-11,https://example.com/apply (mock),mock
OP0016,CO003,Accenture,Business Analyst Intern,internship,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Freshman|Sophomore,"New York, NY",,2026-08-20,2026-10-22,https://example.com/apply (mock),mock
OP0017,CO003,Accenture,Software Engineer I,full_time,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Senior,"Dublin, IE",3.0,2026-08-23,2026-10-16,https://example.com/apply (mock),mock
OP0018,CO003,Accenture,Backend Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Junior,"McLean, VA",3.5,2026-08-03,2026-11-25,https://example.com/apply (mock),mock
OP0019,CO004,EY,Audit Intern,internship,CP09,Accounting Fundamentals|Auditing|Excel Modeling|Financial Statement Analysis,Teamwork,ACIS|FIN,Freshman|Sophomore,"Arlington, VA",3.2,2026-08-08,2026-12-10,https://example.com/apply (mock),mock
OP0020,CO004,EY,Assurance Associate,full_time,CP09,Accounting Fundamentals|Auditing|Excel Modeling|Financial Statement Analysis,Teamwork,ACIS|FIN,Senior,"London, UK",3.2,2026-08-31,2026-10-01,https://example.com/apply (mock),mock
OP0021,CO004,EY,Cloud Consultant Analyst,full_time,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Senior,"Richmond, VA",3.0,2026-08-31,2026-11-07,https://example.com/apply (mock),mock
OP0022,CO004,EY,Technology Consulting Intern,internship,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Junior,"New York, NY",3.5,2026-09-14,2026-12-09,https://example.com/apply (mock),mock
OP0023,CO004,EY,Consulting Analyst,full_time,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Senior,"Arlington, VA",3.0,2026-08-25,2026-10-18,https://example.com/apply (mock),mock
OP0024,CO005,PwC,Risk Advisory Intern,internship,CP09,Accounting Fundamentals|Auditing|Excel Modeling|Financial Statement Analysis,Teamwork,ACIS|FIN,Junior,"Richmond, VA",3.5,2026-09-11,2026-09-28,https://example.com/apply (mock),mock
OP0025,CO005,PwC,Audit Intern,internship,CP09,Accounting Fundamentals|Auditing|Excel Modeling|Financial Statement Analysis,Teamwork,ACIS|FIN,Junior|Senior,"McLean, VA",3.5,2026-08-20,2026-11-07,https://example.com/apply (mock),mock
OP0026,CO005,PwC,Data & AI Consulting Intern,internship,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Freshman|Sophomore,"Richmond, VA",3.2,2026-08-09,2026-10-12,https://example.com/apply (mock),mock
OP0027,CO005,PwC,Technology Consulting Intern,internship,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Sophomore|Junior,"Richmond, VA",3.2,2026-08-02,2026-12-14,https://example.com/apply (mock),mock
OP0028,CO005,PwC,Business Analyst Intern,internship,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Junior,"McLean, VA",3.5,2026-08-28,2026-09-30,https://example.com/apply (mock),mock
OP0029,CO005,PwC,Consulting Analyst,full_time,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Senior,"New York, NY",3.0,2026-08-19,2026-10-21,https://example.com/apply (mock),mock
OP0030,CO006,KPMG,Assurance Associate,full_time,CP09,Accounting Fundamentals|Auditing|Excel Modeling|Financial Statement Analysis,Teamwork,ACIS|FIN,Senior,"Arlington, VA",,2026-08-26,2026-12-03,https://example.com/apply (mock),mock
OP0031,CO006,KPMG,Data & AI Consulting Intern,internship,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Freshman|Sophomore,Remote,,2026-09-18,2026-11-19,https://example.com/apply (mock),mock
OP0032,CO007,Booz Allen Hamilton,Cybersecurity Analyst Intern,internship,CP10,Network Security|Penetration Testing|Linux|Python,Cloud (AWS/Azure/GCP),CS|CPE|BIT,Junior,"New York, NY",,2026-08-04,2026-10-25,https://example.com/apply (mock),mock
OP0033,CO007,Booz Allen Hamilton,Data Analyst Intern,internship,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Junior|Senior,"McLean, VA",3.5,2026-08-24,2026-10-20,https://example.com/apply (mock),mock
OP0034,CO007,Booz Allen Hamilton,Data Scientist Intern,internship,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Junior,"McLean, VA",3.2,2026-08-03,2026-10-18,https://example.com/apply (mock),mock
OP0035,CO007,Booz Allen Hamilton,Data & AI Consulting Intern,internship,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Freshman|Sophomore,Remote,3.2,2026-09-02,2026-12-02,https://example.com/apply (mock),mock
OP0036,CO007,Booz Allen Hamilton,Cloud Consultant Analyst,full_time,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Senior,Remote,,2026-08-03,2026-10-04,https://example.com/apply (mock),mock
OP0037,CO007,Booz Allen Hamilton,Backend Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Junior,"McLean, VA",3.0,2026-08-13,2026-10-12,https://example.com/apply (mock),mock
OP0038,CO008,McKinsey & Company,Strategy Associate Intern,internship,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Sophomore|Junior,"New York, NY",3.5,2026-08-24,2026-10-29,https://example.com/apply (mock),mock
OP0039,CO009,Boston Consulting Group,Consulting Analyst,full_time,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Senior,"Arlington, VA",3.0,2026-09-01,2026-11-18,https://example.com/apply (mock),mock
OP0040,CO009,Boston Consulting Group,Business Analyst Intern,internship,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Sophomore|Junior,"Charlotte, NC",3.5,2026-09-11,2026-10-17,https://example.com/apply (mock),mock
OP0041,CO009,Boston Consulting Group,Data & AI Consulting Intern,internship,CP08,Cloud (AWS/Azure/GCP)|SQL|Spark / Databricks|Project Management,Case Interviewing|Public Speaking,BIT|CS|ISE|CMDA,Freshman|Sophomore,"New York, NY",3.0,2026-08-13,2026-10-03,https://example.com/apply (mock),mock
OP0042,CO010,Bain & Company,Business Analyst Intern,internship,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Freshman|Sophomore,"Charlotte, NC",3.2,2026-08-13,2026-10-19,https://example.com/apply (mock),mock
OP0043,CO010,Bain & Company,Strategy Associate Intern,internship,CP07,Case Interviewing|Market Sizing|Business Strategy|Excel Modeling,Public Speaking|Leadership,MGT|FIN|ECON|ISE|BIT,Junior|Senior,Remote,,2026-08-03,2026-10-06,https://example.com/apply (mock),mock
OP0044,CO011,Goldman Sachs,Investment Banking Summer Analyst,internship,CP04,Financial Modeling|DCF Valuation|LBO Modeling|M&A Concepts,Accounting Fundamentals|Excel Modeling|Networking|Behavioral Interviewing,FIN|ACIS|ECON,Sophomore|Junior,"Richmond, VA",,2026-09-14,2026-11-12,https://example.com/apply (mock),mock
OP0045,CO011,Goldman Sachs,Markets Analyst,full_time,CP05,Financial Statement Analysis|Excel Modeling|Statistics|Python,Networking|Public Speaking,FIN|ECON|MATH,Senior,"Arlington, VA",,2026-09-11,2026-11-05,https://example.com/apply (mock),mock
OP0046,CO011,Goldman Sachs,Sales & Trading Summer Analyst,internship,CP05,Financial Statement Analysis|Excel Modeling|Statistics|Python,Networking|Public Speaking,FIN|ECON|MATH,Freshman|Sophomore,"McLean, VA",3.0,2026-09-15,2026-10-14,https://example.com/apply (mock),mock
OP0047,CO011,Goldman Sachs,Quant Research Intern,internship,CP06,Python|C/C++|Statistics|Stochastic Calculus,Machine Learning|Data Structures & Algorithms,MATH|STAT|CS|CMDA,Junior,Remote,,2026-08-06,2026-10-27,https://example.com/apply (mock),mock
OP0048,CO011,Goldman Sachs,Software Engineer I,full_time,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Senior,Remote,,2026-08-09,2026-11-18,https://example.com/apply (mock),mock
OP0049,CO011,Goldman Sachs,Backend Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Freshman|Sophomore,"Richmond, VA",3.0,2026-08-17,2026-12-07,https://example.com/apply (mock),mock
OP0050,CO012,J.P. Morgan,Investment Banking Summer Analyst,internship,CP04,Financial Modeling|DCF Valuation|LBO Modeling|M&A Concepts,Accounting Fundamentals|Excel Modeling|Networking|Behavioral Interviewing,FIN|ACIS|ECON,Junior,"New York, NY",3.2,2026-09-15,2026-11-13,https://example.com/apply (mock),mock
OP0051,CO012,J.P. Morgan,Sales & Trading Summer Analyst,internship,CP05,Financial Statement Analysis|Excel Modeling|Statistics|Python,Networking|Public Speaking,FIN|ECON|MATH,Sophomore|Junior,"Arlington, VA",3.2,2026-09-19,2026-11-28,https://example.com/apply (mock),mock
OP0052,CO012,J.P. Morgan,Backend Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Sophomore|Junior,Remote,,2026-08-25,2026-10-19,https://example.com/apply (mock),mock
OP0053,CO012,J.P. Morgan,Analytics Associate,full_time,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Senior,"Arlington, VA",3.2,2026-08-07,2026-09-29,https://example.com/apply (mock),mock
OP0054,CO013,Morgan Stanley,Investment Banking Summer Analyst,internship,CP04,Financial Modeling|DCF Valuation|LBO Modeling|M&A Concepts,Accounting Fundamentals|Excel Modeling|Networking|Behavioral Interviewing,FIN|ACIS|ECON,Freshman|Sophomore,"Richmond, VA",3.0,2026-08-19,2026-11-02,https://example.com/apply (mock),mock
OP0055,CO013,Morgan Stanley,Sales & Trading Summer Analyst,internship,CP05,Financial Statement Analysis|Excel Modeling|Statistics|Python,Networking|Public Speaking,FIN|ECON|MATH,Freshman|Sophomore,"Arlington, VA",,2026-08-15,2026-11-04,https://example.com/apply (mock),mock
OP0056,CO013,Morgan Stanley,Backend Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Sophomore|Junior,"New York, NY",,2026-09-05,2026-10-26,https://example.com/apply (mock),mock
OP0057,CO013,Morgan Stanley,Software Engineer I,full_time,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Senior,"Richmond, VA",3.2,2026-08-29,2026-12-06,https://example.com/apply (mock),mock
OP0058,CO014,Bank of America,Investment Banking Summer Analyst,internship,CP04,Financial Modeling|DCF Valuation|LBO Modeling|M&A Concepts,Accounting Fundamentals|Excel Modeling|Networking|Behavioral Interviewing,FIN|ACIS|ECON,Sophomore|Junior,"Charlotte, NC",3.2,2026-08-24,2026-10-13,https://example.com/apply (mock),mock
OP0059,CO014,Bank of America,IB Analyst (Full-time),full_time,CP04,Financial Modeling|DCF Valuation|LBO Modeling|M&A Concepts,Accounting Fundamentals|Excel Modeling|Networking|Behavioral Interviewing,FIN|ACIS|ECON,Senior,"Charlotte, NC",,2026-09-19,2026-10-05,https://example.com/apply (mock),mock
OP0060,CO014,Bank of America,Markets Analyst,full_time,CP05,Financial Statement Analysis|Excel Modeling|Statistics|Python,Networking|Public Speaking,FIN|ECON|MATH,Senior,"McLean, VA",3.5,2026-09-14,2026-10-12,https://example.com/apply (mock),mock
OP0061,CO014,Bank of America,Software Engineer I,full_time,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Senior,"Charlotte, NC",3.2,2026-08-27,2026-11-23,https://example.com/apply (mock),mock
OP0062,CO014,Bank of America,Software Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Sophomore|Junior,"Charlotte, NC",3.5,2026-08-08,2026-10-04,https://example.com/apply (mock),mock
OP0063,CO015,Wells Fargo,Sophomore IB Insight Program,full_time,CP04,Financial Modeling|DCF Valuation|LBO Modeling|M&A Concepts,Accounting Fundamentals|Excel Modeling|Networking|Behavioral Interviewing,FIN|ACIS|ECON,Senior,"San Francisco, CA",,2026-08-26,2026-12-04,https://example.com/apply (mock),mock
OP0064,CO015,Wells Fargo,Data Scientist Intern,internship,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Freshman|Sophomore,"McLean, VA",3.2,2026-09-10,2026-10-03,https://example.com/apply (mock),mock
OP0065,CO015,Wells Fargo,Analytics Associate,full_time,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Senior,"McLean, VA",3.2,2026-09-01,2026-10-01,https://example.com/apply (mock),mock
OP0066,CO015,Wells Fargo,Software Engineer I,full_time,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Senior,"Charlotte, NC",,2026-09-09,2026-12-02,https://example.com/apply (mock),mock
OP0067,CO016,Truist,Sophomore IB Insight Program,full_time,CP04,Financial Modeling|DCF Valuation|LBO Modeling|M&A Concepts,Accounting Fundamentals|Excel Modeling|Networking|Behavioral Interviewing,FIN|ACIS|ECON,Senior,"McLean, VA",3.2,2026-08-15,2026-12-15,https://example.com/apply (mock),mock
OP0068,CO016,Truist,Risk Advisory Intern,internship,CP09,Accounting Fundamentals|Auditing|Excel Modeling|Financial Statement Analysis,Teamwork,ACIS|FIN,Junior,"McLean, VA",,2026-09-01,2026-09-28,https://example.com/apply (mock),mock
OP0069,CO016,Truist,Audit Intern,internship,CP09,Accounting Fundamentals|Auditing|Excel Modeling|Financial Statement Analysis,Teamwork,ACIS|FIN,Junior,"Charlotte, NC",3.2,2026-08-31,2026-12-03,https://example.com/apply (mock),mock
OP0070,CO016,Truist,Analytics Associate,full_time,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Senior,"Charlotte, NC",3.2,2026-08-02,2026-10-31,https://example.com/apply (mock),mock
OP0071,CO016,Truist,Data Analyst Intern,internship,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Junior,"McLean, VA",,2026-08-23,2026-10-24,https://example.com/apply (mock),mock
OP0072,CO017,Capital One,Backend Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Junior,"McLean, VA",,2026-09-07,2026-11-13,https://example.com/apply (mock),mock
OP0073,CO017,Capital One,Software Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Freshman|Sophomore,"Arlington, VA",,2026-08-03,2026-10-26,https://example.com/apply (mock),mock
OP0074,CO017,Capital One,Data Scientist Intern,internship,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Sophomore|Junior,"McLean, VA",3.0,2026-08-20,2026-09-29,https://example.com/apply (mock),mock
OP0075,CO017,Capital One,Analytics Associate,full_time,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Senior,"Charlotte, NC",3.5,2026-08-25,2026-10-31,https://example.com/apply (mock),mock
OP0076,CO017,Capital One,Product Analyst,full_time,CP11,Product Roadmapping|User Research|SQL|Business Strategy,Public Speaking|Leadership,CS|BIT|MGT|ID,Senior,"Arlington, VA",3.2,2026-09-07,2026-11-24,https://example.com/apply (mock),mock
OP0077,CO017,Capital One,Sales & Trading Summer Analyst,internship,CP05,Financial Statement Analysis|Excel Modeling|Statistics|Python,Networking|Public Speaking,FIN|ECON|MATH,Sophomore|Junior,"Arlington, VA",3.5,2026-08-22,2026-11-12,https://example.com/apply (mock),mock
OP0078,CO017,Capital One,Markets Analyst,full_time,CP05,Financial Statement Analysis|Excel Modeling|Statistics|Python,Networking|Public Speaking,FIN|ECON|MATH,Senior,"Arlington, VA",,2026-08-04,2026-10-09,https://example.com/apply (mock),mock
OP0079,CO018,Citadel,Quantitative Trader Intern,internship,CP06,Python|C/C++|Statistics|Stochastic Calculus,Machine Learning|Data Structures & Algorithms,MATH|STAT|CS|CMDA,Junior|Senior,"New York, NY",3.0,2026-08-03,2026-11-27,https://example.com/apply (mock),mock
OP0080,CO018,Citadel,Backend Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Junior,"Richmond, VA",,2026-08-23,2026-10-22,https://example.com/apply (mock),mock
OP0081,CO019,Jane Street,Quantitative Trader Intern,internship,CP06,Python|C/C++|Statistics|Stochastic Calculus,Machine Learning|Data Structures & Algorithms,MATH|STAT|CS|CMDA,Junior,Remote,3.0,2026-08-31,2026-10-10,https://example.com/apply (mock),mock
OP0082,CO019,Jane Street,Quant Research Intern,internship,CP06,Python|C/C++|Statistics|Stochastic Calculus,Machine Learning|Data Structures & Algorithms,MATH|STAT|CS|CMDA,Junior|Senior,"Arlington, VA",3.0,2026-08-20,2026-11-04,https://example.com/apply (mock),mock
OP0083,CO019,Jane Street,Backend Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Freshman|Sophomore,"New York, NY",3.0,2026-09-06,2026-10-26,https://example.com/apply (mock),mock
OP0084,CO019,Jane Street,Software Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Junior,"Charlotte, NC",3.0,2026-08-06,2026-10-20,https://example.com/apply (mock),mock
OP0085,CO020,Freddie Mac,Data Analyst Intern,internship,CP02,Python|SQL|Statistics|Machine Learning,Data Visualization|Spark / Databricks,CMDA|CS|STAT|MATH|ECON,Sophomore|Junior,Remote,3.2,2026-09-16,2026-10-29,https://example.com/apply (mock),mock
OP0086,CO020,Freddie Mac,Backend Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Junior,"McLean, VA",3.5,2026-09-08,2026-11-06,https://example.com/apply (mock),mock
OP0087,CO020,Freddie Mac,Assurance Associate,full_time,CP09,Accounting Fundamentals|Auditing|Excel Modeling|Financial Statement Analysis,Teamwork,ACIS|FIN,Senior,"McLean, VA",3.5,2026-08-26,2026-10-10,https://example.com/apply (mock),mock
OP0088,CO021,Amazon,Software Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Freshman|Sophomore,"McLean, VA",3.5,2026-09-10,2026-11-09,https://example.com/apply (mock),mock
OP0089,CO021,Amazon,Applied Scientist Intern,internship,CP03,Python|Machine Learning|Deep Learning|LLMs & AI Agents,Cloud (AWS/Azure/GCP)|System Design,CS|CPE|CMDA,Freshman|Sophomore,"Richmond, VA",,2026-08-30,2026-12-06,https://example.com/apply (mock),mock
OP0090,CO021,Amazon,AI Engineer (New Grad),full_time,CP03,Python|Machine Learning|Deep Learning|LLMs & AI Agents,Cloud (AWS/Azure/GCP)|System Design,CS|CPE|CMDA,Senior,"New York, NY",3.5,2026-08-19,2026-10-26,https://example.com/apply (mock),mock
OP0091,CO021,Amazon,Supply Chain Analyst Intern,internship,CP13,Supply Chain Analytics|Excel Modeling|SQL|Project Management,Tableau / Power BI,ISE|MGT|BIT,Junior,Remote,3.5,2026-08-09,2026-11-04,https://example.com/apply (mock),mock
OP0092,CO021,Amazon,Product Analyst,full_time,CP11,Product Roadmapping|User Research|SQL|Business Strategy,Public Speaking|Leadership,CS|BIT|MGT|ID,Senior,"Richmond, VA",,2026-09-08,2026-10-02,https://example.com/apply (mock),mock
OP0093,CO021,Amazon,Associate Product Manager Intern,internship,CP11,Product Roadmapping|User Research|SQL|Business Strategy,Public Speaking|Leadership,CS|BIT|MGT|ID,Junior,"Charlotte, NC",3.0,2026-08-03,2026-10-22,https://example.com/apply (mock),mock
OP0094,CO022,Microsoft,Software Engineer I,full_time,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Senior,"McLean, VA",3.0,2026-08-22,2026-10-14,https://example.com/apply (mock),mock
OP0095,CO022,Microsoft,Backend Engineer Intern,internship,CP01,Data Structures & Algorithms|Python|Java|Git,System Design|Cloud (AWS/Azure/GCP)|Behavioral Interviewing,CS|CPE|CMDA|MATH,Junior|Senior,"New York, NY",,2026-09-01,2026-11-23,https://example.com/apply (mock),mock
OP0096,CO022,Microsoft,ML Engineer Intern,internship,CP03,Python|Machine Learning|Deep Learning|LLMs & AI Agents,Cloud (AWS/Azure/GCP)|System Design,CS|CPE|CMDA,Freshman|Sophomore,"Charlotte, NC",,2026-08-24,2026-10-10,https://example.com/apply (mock),mock
OP0097,CO022,Microsoft,AI Engineer (New Grad),full_time,CP03,Python|Machine Learning|Deep Learning|LLMs & AI Agents,Cloud (AWS/Azure/GCP)|System Design,CS|CPE|CMDA,Senior,"New York, NY",3.0,2026-09-02,2026-10-08,https://example.com/apply (mock),mock
